age,education_num,hours_per_week,occupation_prestige,sex,income_high
54,10,65,0.328,1,1
17,16,52,0.187,1,0
52,13,40,0.346,1,1
50,12,53,0.538,1,0
46,16,24,0.401,0,0
17,13,44,0.304,0,1
42,10,35,0.753,1,1
31,11,32,0.327,0,0
22,10,58,0.606,1,0
38,14,32,0.44,0,0
49,11,35,0.562,0,1
35,14,64,0.656,1,1
32,11,43,0.335,0,0
35,7,52,0.513,1,0
29,13,15,0.429,0,1
21,13,37,0.621,1,0
37,10,35,0.223,0,0
17,8,38,0.865,1,0
52,12,43,0.621,1,0
32,9,63,0.514,1,1
32,6,25,0.81,1,1
39,7,56,0.38,1,1
69,7,46,0.2,0,0
46,13,51,0.474,1,0
25,9,32,0.62,1,0
31,6,66,0.609,1,0
25,9,43,0.563,0,0
50,10,22,0.438,0,0
38,6,37,0.443,0,0
36,16,51,0.556,1,1
48,9,42,0.539,0,0
37,14,32,0.474,1,1
48,13,36,0.356,1,1
55,11,26,0.341,0,0
56,12,32,0.498,1,0
39,11,35,0.521,1,1
38,9,47,0.487,1,0
44,11,48,0.254,0,0
27,9,33,0.273,0,0
68,13,38,0.491,1,1
23,16,29,0.425,1,1
41,9,32,0.248,1,1
39,8,52,0.802,1,1
33,8,33,0.695,1,1
37,16,51,0.34,1,0
29,8,43,0.711,0,0
52,9,32,0.687,1,0
47,9,52,0.587,1,1
43,6,24,0.328,1,1
44,12,20,0.356,0,0
30,7,43,0.392,0,0
26,12,45,0.476,1,0
33,12,49,0.183,0,1
36,13,43,0.78,1,0
35,11,47,0.515,1,1
43,8,51,0.476,1,0
33,12,47,0.522,1,0
38,12,26,0.504,0,1
48,7,46,0.466,1,0
55,11,59,0.637,1,1
47,10,50,0.336,1,1
44,6,69,0.649,1,0
55,11,19,0.609,1,1
17,11,58,0.671,1,0
42,12,37,0.361,1,0
42,12,20,0.142,0,0
34,16,18,0.89,1,0
32,11,40,0.527,0,0
52,7,46,0.329,1,0
24,14,30,0.778,1,1
