age,education_years,hours_per_week,occupation,marital,sex,income_high
62,13,40,Office & Admin,Married,1,1
33,16,65,Sales,Married,1,0
33,16,40,Management/Business/Finance,Never married,0,0
46,14,40,Office & Admin,Widowed,0,1
32,16,40,Education/Legal/Arts/Social,Married,1,1
52,14,16,Education/Legal/Arts/Social,Never married,1,0
51,14,40,Office & Admin,Married,0,0
22,14,10,Service (food/clean/care/protective),Never married,1,0
46,12,35,Service (food/clean/care/protective),Divorced,0,0
45,9,40,Blue-collar (build/repair/prod/transport),Married,1,0
52,19,36,Healthcare,Married,0,1
44,16,40,Management/Business/Finance,Married,1,1
29,12,40,Blue-collar (build/repair/prod/transport),Never married,1,0
27,12,40,Office & Admin,Married,0,0
20,12,32,Sales,Never married,1,0
46,18,45,Education/Legal/Arts/Social,Married,1,1
53,6,40,Blue-collar (build/repair/prod/transport),Married,0,0
31,19,40,Healthcare,Never married,0,1
20,14,20,Service (food/clean/care/protective),Never married,1,0
60,21,60,Healthcare,Married,1,1
56,16,40,Computing/Engineering/Science,Married,1,1
29,18,40,Management/Business/Finance,Married,0,1
25,16,40,Computing/Engineering/Science,Never married,1,1
45,16,20,Management/Business/Finance,Married,0,0
34,16,40,Computing/Engineering/Science,Married,0,1
38,12,47,Management/Business/Finance,Married,1,1
18,12,12,Computing/Engineering/Science,Never married,1,0
61,13,40,Sales,Divorced,1,1
67,21,35,Education/Legal/Arts/Social,Married,1,1
34,12,40,Sales,Married,1,1
21,14,32,Blue-collar (build/repair/prod/transport),Never married,0,0
42,16,40,Management/Business/Finance,Married,0,1
34,21,7,Healthcare,Married,0,0
26,14,40,Blue-collar (build/repair/prod/transport),Divorced,1,0
60,12,32,Education/Legal/Arts/Social,Married,0,1
56,11,50,Management/Business/Finance,Married,1,0
31,14,40,Office & Admin,Married,0,0
21,14,20,Sales,Never married,0,0
41,12,40,Sales,Married,0,0
53,14,40,Service (food/clean/care/protective),Married,1,1
65,14,40,Sales,Married,1,0
33,18,40,Healthcare,Never married,1,1
32,12,40,Management/Business/Finance,Divorced,1,0
24,14,40,Service (food/clean/care/protective),Never married,1,0
36,14,60,Sales,Married,1,0
36,16,40,Sales,Never married,0,0
22,11,35,Military/Other,Never married,1,0
60,14,30,Computing/Engineering/Science,Married,0,1
59,16,48,Management/Business/Finance,Married,1,1
38,16,80,Management/Business/Finance,Married,1,1
22,14,25,Service (food/clean/care/protective),Never married,0,0
18,12,5,Sales,Never married,0,0
32,18,40,Education/Legal/Arts/Social,Married,0,1
58,4,72,Blue-collar (build/repair/prod/transport),Married,1,0
37,16,45,Computing/Engineering/Science,Married,0,1
63,19,50,Education/Legal/Arts/Social,Married,0,0
37,12,40,Education/Legal/Arts/Social,Never married,1,0
23,14,48,Blue-collar (build/repair/prod/transport),Married,1,0
31,16,70,Military/Other,Married,1,1
43,16,55,Management/Business/Finance,Married,1,1
47,8,40,Blue-collar (build/repair/prod/transport),Married,1,0
20,14,50,Blue-collar (build/repair/prod/transport),Never married,1,0
49,14,25,Education/Legal/Arts/Social,Married,0,0
59,18,50,Management/Business/Finance,Married,0,1
40,14,40,Education/Legal/Arts/Social,Never married,0,1
20,14,40,Blue-collar (build/repair/prod/transport),Never married,1,0
37,13,40,Blue-collar (build/repair/prod/transport),Married,1,1
33,18,40,Sales,Never married,0,0
30,18,12,Education/Legal/Arts/Social,Married,0,0
31,16,40,Management/Business/Finance,Never married,1,1
33,16,40,Computing/Engineering/Science,Married,0,1
61,14,40,Healthcare,Never married,0,1
46,0,40,Blue-collar (build/repair/prod/transport),Divorced,1,0
36,18,60,Education/Legal/Arts/Social,Married,1,1
53,19,55,Management/Business/Finance,Married,0,1
45,11,40,Service (food/clean/care/protective),Divorced,0,0
28,16,40,Service (food/clean/care/protective),Never married,1,1
42,16,40,Education/Legal/Arts/Social,Divorced,0,0
19,14,8,Office & Admin,Never married,0,0
65,21,40,Education/Legal/Arts/Social,Married,1,1
49,11,60,Healthcare,Married,0,0
19,12,40,Service (food/clean/care/protective),Never married,0,0
51,18,40,Management/Business/Finance,Never married,1,1
62,16,40,Office & Admin,Married,0,0
27,12,30,Sales,Never married,0,0
28,12,50,Blue-collar (build/repair/prod/transport),Never married,0,1
22,12,10,Blue-collar (build/repair/prod/transport),Never married,0,0
39,16,40,Management/Business/Finance,Never married,0,1
23,14,28,Service (food/clean/care/protective),Married,0,0
35,18,40,Healthcare,Married,0,1
57,19,47,Healthcare,Married,1,1
36,18,45,Sales,Never married,1,0
24,16,40,Office & Admin,Never married,1,0
22,3,45,Service (food/clean/care/protective),Never married,1,0
33,16,44,Office & Admin,Married,1,1
26,12,30,Service (food/clean/care/protective),Married,0,0
34,16,55,Management/Business/Finance,Never married,1,1
41,16,50,Management/Business/Finance,Married,0,1
69,14,40,Sales,Divorced,1,0
40,16,40,Education/Legal/Arts/Social,Divorced,0,0
60,14,45,Management/Business/Finance,Married,1,1
30,12,20,Sales,Never married,0,0
34,18,50,Healthcare,Never married,0,0
70,18,35,Management/Business/Finance,Married,1,1
